event_type,start,end
flight_cruising,20180908 21:42:00.489,20180908 21:43:11.138
stationary,20180908 21:43:11.140,20180908 21:45:58.367
stationary,20180908 21:41:04.553,20180908 21:41:58.928
flight_cruising,20180908 22:06:04.584,20180908 22:10:58.319
flight_cruising,20180909 03:09:04.755,20180909 03:13:57.895
flight_cruising,20180909 03:32:05.047,20180909 03:36:58.757
flight_cruising,20180909 05:31:04.919,20180909 05:35:58.098
stationary,20180909 05:54:44.189,20180909 05:58:58.372
flight_cruising,20180906 21:09:04.839,20180906 21:13:58.128
flight_cruising,20180906 22:20:04.604,20180906 22:21:33.556
stationary,20180906 22:21:33.567,20180906 22:24:58.160
flight_cruising,20180907 00:25:04.510,20180907 00:27:12.103
flight_cruising,20180907 00:27:50.105,20180907 00:28:37.849
flight_cruising,20180907 00:28:53.480,20180907 00:29:13.927
stationary,20180907 00:50:04.873,20180907 00:54:58.621
stationary,20180907 02:11:04.906,20180907 02:14:00.434
flight_cruising,20180907 02:14:20.198,20180907 02:14:32.764
flight_cruising,20180907 02:15:29.747,20180907 02:15:58.296
stationary,20180907 02:14:32.770,20180907 02:15:27.641
flight_cruising,20180827 21:57:04.581,20180827 22:01:58.431
flight_cruising,20180910 22:51:46.474,20180910 22:52:40.878
stationary,20180910 22:52:40.883,20180910 22:54:49.427
stationary,20180910 22:50:04.666,20180910 22:50:47.080
stationary,20180910 22:51:06.923,20180910 22:51:44.672
flight_cruising,20180911 02:12:04.613,20180911 02:16:58.513
stationary,20180902 21:08:04.630,20180902 21:10:25.736
flight_cruising,20180902 21:10:28.173,20180902 21:11:49.499
stationary,20180902 21:11:49.504,20180902 21:12:58.580
flight_cruising,20180902 21:29:36.057,20180902 21:31:33.406
surface_seizing,20180902 21:31:50.076,20180902 21:32:04.783
unknown,20180820 20:37:06.676,20180820 20:41:58.840
unknown,20180820 21:07:04.624,20180820 21:11:57.004
flight_cruising,20180820 21:37:06.016,20180820 21:41:59.184
unknown,20180820 22:07:07.694,20180820 22:11:56.846
unknown,20180820 22:37:07.866,20180820 22:41:59.026
flight_cruising,20180820 20:32:04.223,20180820 20:35:56.806
stationary,20180820 20:35:56.824,20180820 20:36:59.767
stationary,20180820 20:38:05.058,20180820 20:42:59.428
stationary,20180820 20:44:06.119,20180820 20:48:58.204
stationary,20180820 20:50:04.707,20180820 20:55:00.390
stationary,20180820 20:56:05.632,20180820 21:00:59.609
stationary,20180820 21:02:05.631,20180820 21:06:58.957
stationary,20180820 21:08:05.045,20180820 21:12:59.317
stationary,20180820 21:14:04.837,20180820 21:18:59.411
stationary,20180820 21:20:05.434,20180820 21:24:59.215
stationary,20180820 21:26:05.629,20180820 21:30:59.328
flight_cruising,20180820 23:13:04.805,20180820 23:17:59.989
stationary,20180820 23:45:04.543,20180820 23:50:01.093
stationary,20180820 23:51:05.780,20180820 23:55:59.269
stationary,20180820 23:57:05.365,20180821 00:01:59.629
stationary,20180821 00:03:05.480,20180821 00:07:59.557
stationary,20180821 00:09:05.637,20180821 00:13:59.693
stationary,20180821 00:15:05.869,20180821 00:19:54.157
stationary,20180907 00:27:12.118,20180907 00:27:48.266
flight_take_off,20180907 00:27:48.268,20180907 00:27:50.103
flight_take_off,20180907 00:28:50.321,20180907 00:28:53.479
stationary,20180907 00:28:37.853,20180907 00:28:50.320
unknown,20180907 02:14:00.445,20180907 02:14:07.408
flight_take_off,20180907 02:14:17.571,20180907 02:14:20.195
stationary,20180907 02:14:07.419,20180907 02:14:17.567
flight_take_off,20180907 02:15:27.643,20180907 02:15:29.744
flight_take_off,20180910 22:51:44.674,20180910 22:51:46.472
bathing,20180910 22:50:47.088,20180910 22:50:49.873
flight_take_off,20180910 22:54:49.432,20180910 22:54:51.175
flight_cruising,20180910 22:54:51.177,20180910 22:54:58.397
stationary,20180902 21:29:04.695,20180902 21:29:33.791
flight_take_off,20180902 21:29:33.797,20180902 21:29:36.055
flight_take_off,20180908 21:41:58.930,20180908 21:42:00.487
unknown,20180909 05:54:04.565,20180909 05:54:44.189
stationary,20180907 00:29:13.959,20180907 00:29:58.217
unknown,20180902 21:31:33.409,20180902 21:31:44.608
flight_take_off,20180902 21:31:44.610,20180902 21:31:46.876
flight_cruising,20180902 21:31:46.878,20180902 21:31:50.067
flight_take_off,20180902 21:32:25.014,20180902 21:32:27.229
stationary,20180902 21:32:37.237,20180902 21:33:00.932
flight_take_off,20180902 21:33:00.935,20180902 21:33:03.190
flight_cruising,20180902 21:33:03.193,20180902 21:33:07.685
stationary,20180902 21:33:25.063,20180902 21:33:58.490
surface_seizing,20180902 21:32:19.746,20180902 21:32:25.010
surface_seizing,20180902 21:32:30.851,20180902 21:32:37.229
unknown,20180902 21:32:04.796,20180902 21:32:19.728
flight_cruising,20180902 21:32:27.232,20180902 21:32:28.527
unknown,20180902 21:33:07.694,20180902 21:33:12.470
stationary,20180902 21:33:12.473,20180902 21:33:22.667
unknown,20180902 21:33:22.671,20180902 21:33:25.061
bathing,20180910 22:50:53.934,20180910 22:50:59.958
stationary,20180910 22:50:49.878,20180910 22:50:53.929
stationary,20180910 22:50:59.964,20180910 22:51:04.609
unknown,20180910 22:51:04.614,20180910 22:51:06.918
flight_take_off,20180902 21:10:25.740,20180902 21:10:28.170
stationary,20180902 21:32:28.531,20180902 21:32:30.847
