event_type,start,end
foraging_poss,20190512 00:06:54.581,20190512 00:07:00.935
foraging_steal,20190516 05:37:04.558,20190516 05:37:39.473
ground_stationary,20190510 05:41:04.571,20190510 05:41:58.477
flying_active,20190510 06:26:09.285,20190510 06:26:43.802
ground_stationary,20190510 06:11:04.544,20190510 06:11:59.373
flying_active,20190510 06:11:43.269,20190510 06:11:47.917
ground_stationary,20190510 06:11:32.515,20190510 06:11:43.256
ground_stationary,20190510 06:11:47.930,20190510 06:12:08.319
unknown,20190510 06:12:08.335,20190510 06:12:13.666
ground_stationary,20190510 06:12:13.674,20190510 06:12:28.333
ground_stationary,20190510 06:20:03.459,20190510 06:20:18.593
ground_active,20190510 06:20:18.600,20190510 06:20:21.646
ground_stationary,20190510 06:20:21.648,20190510 06:20:56.956
ground_stationary,20190510 06:24:20.653,20190510 06:24:54.550
ground_stationary,20190510 06:42:08.540,20190510 06:43:04.251
flying_active,20190510 07:09:13.714,20190510 07:09:18.419
flying_active,20190510 07:09:20.401,20190510 07:09:33.428
flying_active,20190510 07:09:01.940,20190510 07:09:04.704
flying_active,20190510 07:08:56.600,20190510 07:08:58.663
flying_active,20190510 07:08:46.628,20190510 07:08:49.911
ground_stationary,20190510 07:11:22.514,20190510 07:11:38.819
ground_active,20190510 07:11:38.822,20190510 07:11:43.913
ground_stationary,20190510 07:11:43.916,20190510 07:11:51.800
ground_active,20190510 07:11:51.804,20190510 07:11:55.445
ground_stationary,20190510 07:11:55.448,20190510 07:11:59.426
flying_active,20190510 07:14:50.521,20190510 07:14:53.525
flying_active,20190510 07:30:27.501,20190510 07:30:35.598
flying_active,20190510 07:33:16.551,20190510 07:33:23.535
flying_passive,20190510 07:33:32.261,20190510 07:33:36.986
flying_active,20190510 07:33:36.992,20190510 07:33:41.545
flying_passive,20190510 07:33:44.056,20190510 07:34:10.628
ground_stationary,20190510 08:29:40.514,20190510 08:30:35.238
ground_stationary,20190510 08:31:52.545,20190510 08:32:48.381
flying_active,20190510 08:37:51.825,20190510 08:37:53.964
flying_passive,20190510 08:37:36.626,20190510 08:37:47.143
flying_active,20190510 08:37:31.511,20190510 08:37:33.335
flying_passive,20190510 08:37:56.172,20190510 08:38:03.826
ground_stationary,20190510 08:38:07.644,20190510 08:38:27.364
flying_active,20190510 08:41:03.519,20190510 08:41:11.287
ground_stationary,20190510 08:41:26.744,20190510 08:41:58.086
flying_passive,20190510 08:57:13.552,20190510 08:57:30.127
flying_active,20190510 08:57:30.130,20190510 08:57:36.932
flying_passive,20190510 08:57:36.937,20190510 08:57:45.537
ground_stationary,20190510 08:57:54.233,20190510 08:58:03.587
ground_stationary,20190510 08:58:04.546,20190510 08:58:09.236
unknown,20190510 05:54:10.524,20190510 05:55:06.587
unknown,20190510 05:56:26.740,20190510 05:57:22.404
unknown,20190510 05:58:47.641,20190510 05:59:43.436
unknown,20190510 06:04:41.676,20190510 06:05:37.644
unknown,20190510 06:34:16.520,20190510 06:35:12.380
unknown,20190510 06:41:41.707,20190510 06:42:37.313
unknown,20190510 06:50:49.702,20190510 06:51:45.515
unknown,20190510 06:54:16.656,20190510 06:55:12.337
unknown,20190510 06:57:28.591,20190510 06:58:24.420
unknown,20190510 07:00:21.572,20190510 07:01:17.400
unknown,20190510 07:02:49.720,20190510 07:03:45.368
unknown,20190510 07:07:26.660,20190510 07:08:22.420
unknown,20190510 07:09:42.576,20190510 07:10:38.384
unknown,20190510 07:11:44.532,20190510 07:12:40.368
unknown,20190510 07:14:17.634,20190510 07:15:13.219
unknown,20190510 07:17:01.593,20190510 07:17:57.367
unknown,20190510 07:30:46.588,20190510 07:31:42.173
unknown,20190510 07:32:57.652,20190510 07:33:53.441
unknown,20190510 07:37:00.567,20190510 07:37:56.167
ground_stationary,20190510 05:56:04.496,20190510 05:56:55.407
ground_stationary,20190510 06:56:04.568,20190510 06:57:00.003
ground_stationary,20190510 07:11:04.928,20190510 07:11:48.896
ground_active,20190510 07:26:14.151,20190510 07:26:16.486
ground_stationary,20190510 07:26:16.496,20190510 07:27:00.293
ground_stationary,20190510 07:41:04.522,20190510 07:42:00.405
ground_stationary,20190510 07:56:04.619,20190510 07:56:59.744
ground_stationary,20190510 08:11:04.720,20190510 08:12:00.352
ground_stationary,20190510 08:26:04.504,20190510 08:27:00.232
ground_stationary,20190510 08:41:04.516,20190510 08:42:00.246
ground_stationary,20190510 08:56:04.542,20190510 08:57:00.353
ground_stationary,20190511 06:21:04.616,20190511 06:21:41.262
ground_stationary,20190511 06:23:32.000,20190511 06:24:09.265
ground_active,20190511 06:24:09.271,20190511 06:24:19.347
ground_stationary,20190511 07:07:13.540,20190511 07:08:09.431
ground_stationary,20190511 07:11:13.149,20190511 07:12:07.319
flying_active,20190511 07:21:08.526,20190511 07:21:09.658
flying_active,20190511 07:33:59.944,20190511 07:34:21.705
flying_active,20190511 07:36:18.728,20190511 07:36:31.653
flying_passive,20190511 07:36:59.872,20190511 07:37:14.241
ground_stationary,20190511 07:45:38.205,20190511 07:46:32.366
flying_passive,20190511 06:39:22.514,20190511 06:39:29.580
ground_stationary,20190511 06:39:31.260,20190511 06:40:04.772
flying_passive,20190511 06:41:29.517,20190511 06:41:37.036
ground_stationary,20190511 06:41:37.048,20190511 06:41:50.705
ground_active,20190511 06:41:50.714,20190511 06:42:14.460
ground_stationary,20190512 07:04:13.885,20190512 07:04:56.627
flying_active,20190512 07:04:06.611,20190512 07:04:10.617
ground_stationary,20190512 05:21:31.714,20190512 05:22:27.228
flying_active,20190512 05:40:48.965,20190512 05:41:00.179
flying_active,20190512 06:07:22.107,20190512 06:07:28.925
flying_active,20190512 06:10:43.959,20190512 06:11:08.213
flying_active,20190512 06:16:17.025,20190512 06:16:21.296
ground_stationary,20190512 06:18:25.527,20190512 06:19:13.374
ground_stationary,20190512 06:25:21.045,20190512 06:25:42.724
ground_stationary,20190512 06:24:55.719,20190512 06:25:10.080
ground_active,20190512 06:25:10.090,20190512 06:25:21.034
ground_active,20190512 06:28:59.232,20190512 06:29:05.561
ground_stationary,20190512 06:29:05.568,20190512 06:29:21.114
ground_stationary,20190512 06:28:43.583,20190512 06:28:59.218
flying_active,20190512 06:41:36.540,20190512 06:42:32.307
flying_active,20190512 06:44:25.577,20190512 06:44:42.747
flying_passive,20190512 06:44:42.776,20190512 06:44:47.059
ground_stationary,20190512 06:44:56.752,20190512 06:45:21.294
ground_stationary,20190512 07:16:46.728,20190512 07:17:24.655
flying_active,20190512 08:10:36.269,20190512 08:10:52.744
flying_active,20190512 08:10:55.403,20190512 08:11:29.238
flying_passive,20190512 08:10:53.470,20190512 08:10:55.397
flying_active,20190512 08:13:30.543,20190512 08:14:08.215
flying_active,20190512 08:14:12.894,20190512 08:14:21.072
flying_passive,20190512 08:14:08.230,20190512 08:14:12.884
flying_active,20190510 20:45:16.517,20190510 20:45:23.762
flying_active,20190510 20:45:27.090,20190510 20:45:37.695
flying_passive,20190510 20:45:23.769,20190510 20:45:27.082
flying_passive,20190510 20:45:37.702,20190510 20:45:48.479
foraging_poss,20190510 20:45:48.487,20190510 20:46:05.838
flying_active,20190510 20:52:11.281,20190510 20:52:51.366
flying_active,20190510 20:55:42.473,20190510 20:55:59.301
foraging_poss,20190510 20:55:04.646,20190510 20:55:12.890
