event_type,start,end
flight_cruising,20210920 21:12:05.592,20210920 21:13:01.635
foraging_dive,20210920 21:55:04.529,20210920 21:55:08.659
flight_cruising,20210920 21:55:12.419,20210920 21:55:18.555
foraging_dive,20210920 22:47:31.540,20210920 22:47:36.689
foraging_dive,20210920 22:48:10.020,20210920 22:48:13.161
foraging_dive,20210920 22:48:24.041,20210920 22:48:26.028
foraging_dive,20210920 22:48:38.685,20210920 22:48:41.493
foraging_dive,20210920 22:49:24.073,20210920 22:49:26.607
foraging_dive,20210920 22:49:36.609,20210920 22:49:39.618
foraging_dive,20210920 22:49:43.097,20210920 22:49:47.114
foraging_dive,20210920 22:49:56.386,20210920 22:50:00.018
surface_seizing,20210920 22:50:35.670,20210920 22:50:47.425
surface_seizing,20210920 22:52:52.109,20210920 22:52:54.438
foraging_dive,20210920 22:52:56.481,20210920 22:52:59.994
flight_cruising,20210920 23:01:58.312,20210920 23:02:29.381
flight_cruising,20210920 23:04:56.652,20210920 23:05:52.502
flight_cruising,20210920 23:15:33.648,20210920 23:16:38.568
stationary,20210920 23:31:54.589,20210920 23:32:59.578
stationary,20210921 00:32:03.640,20210921 00:32:59.480
stationary,20210921 01:32:03.515,20210921 01:32:59.492
stationary,20210921 02:32:03.549,20210921 02:32:59.610
unknown,20210921 04:32:03.600,20210921 04:32:59.467
stationary,20210921 05:32:03.514,20210921 05:32:59.696
unknown,20210921 06:32:03.538,20210921 06:32:59.660
flight_cruising,20210921 06:58:38.175,20210921 06:59:05.514
stationary,20210921 08:06:31.674,20210921 08:07:27.671
flight_cruising,20210831 23:36:31.742,20210831 23:37:27.851
unknown,20210901 00:36:31.627,20210901 00:37:27.387
flight_cruising,20210901 01:36:31.693,20210901 01:37:27.536
flight_cruising,20210901 02:36:31.651,20210901 02:37:27.689
stationary,20210901 03:36:48.359,20210901 03:37:27.588
stationary,20210901 04:36:31.502,20210901 04:37:27.675
flight_cruising,20210901 05:36:31.568,20210901 05:37:27.749
flight_cruising,20210901 06:36:31.581,20210901 06:37:27.748
flight_cruising,20210901 08:36:31.760,20210901 08:37:27.500
flight_cruising,20210819 19:12:41.112,20210819 19:16:31.420
flight_cruising,20210819 19:03:23.732,20210819 19:06:29.266
flight_cruising,20210819 19:51:45.601,20210819 19:52:41.095
flight_cruising,20210819 19:57:12.437,20210819 19:58:07.517
flight_cruising,20210902 02:59:36.508,20210902 03:00:32.755
flight_cruising,20210902 03:59:36.550,20210902 04:00:06.924
flight_cruising,20210902 04:59:37.525,20210902 05:00:33.574
flight_cruising,20210902 05:59:37.706,20210902 06:00:33.593
flight_cruising,20210902 06:59:37.783,20210902 07:00:33.574
flight_cruising,20210902 08:59:37.550,20210902 09:00:33.619
flight_cruising,20210902 23:08:17.602,20210902 23:08:41.636
flight_cruising,20210903 00:09:04.570,20210903 00:09:17.665
flight_cruising,20210903 01:09:04.640,20210903 01:10:00.483
stationary,20210903 02:09:05.584,20210903 02:10:01.656
flight_cruising,20210903 03:09:05.525,20210903 03:09:36.016
flight_cruising,20210903 04:09:05.566,20210903 04:10:01.576
flight_cruising,20210903 05:09:05.636,20210903 05:10:01.675
stationary,20210903 06:09:05.567,20210903 06:10:01.605
stationary,20210903 07:09:05.949,20210903 07:10:01.500
flight_cruising,20210903 07:36:31.663,20210903 07:36:37.559
flight_cruising,20210903 08:36:35.640,20210903 08:37:31.504
flight_cruising,20210901 07:36:31.648,20210901 07:37:27.672
unknown,20210819 18:31:31.073,20210819 18:36:23.100
unknown,20210819 18:36:30.990,20210819 18:41:24.694
unknown,20210819 18:41:31.739,20210819 18:46:25.653
unknown,20210819 18:46:32.980,20210819 18:51:25.291
unknown,20210819 18:51:33.547,20210819 18:56:25.910
unknown,20210819 18:56:35.268,20210819 19:01:28.512
unknown,20210819 19:01:36.096,20210819 19:03:19.030
flight_take_off,20210819 19:03:18.933,20210819 19:03:23.727
flight_cruising,20210819 19:06:36.610,20210819 19:11:30.482
flight_cruising,20210819 19:11:37.496,20210819 19:12:19.451
stationary,20210819 19:12:19.468,20210819 19:12:36.653
flight_take_off,20210819 19:12:36.659,20210819 19:12:41.108
flight_cruising,20210819 19:16:38.667,20210819 19:21:00.051
flight_cruising,20210819 19:21:39.602,20210819 19:22:03.876
flight_take_off,20210819 19:21:00.053,20210819 19:21:04.825
flight_cruising,20210819 19:21:04.829,20210819 19:21:32.462
flight_take_off,20210819 19:22:03.880,20210819 19:22:08.650
flight_cruising,20210819 19:22:08.653,20210819 19:22:33.958
flight_take_off,20210819 19:22:44.320,20210819 19:22:48.472
flight_cruising,20210819 19:22:48.476,20210819 19:22:59.927
unknown,20210819 19:22:33.990,20210819 19:22:44.311
unknown,20210819 19:22:59.935,20210819 19:23:01.772
flight_take_off,20210819 19:23:01.777,20210819 19:23:04.818
flight_cruising,20210819 19:23:04.826,20210819 19:23:22.737
flight_take_off,20210819 19:23:25.023,20210819 19:23:28.517
unknown,20210819 19:23:22.740,20210819 19:23:25.020
flight_cruising,20210819 19:23:28.520,20210819 19:23:42.999
flight_take_off,20210819 19:23:47.402,20210819 19:23:51.192
unknown,20210819 19:23:43.003,20210819 19:23:47.398
flight_cruising,20210819 19:23:51.198,20210819 19:23:59.194
unknown,20210819 19:23:59.199,20210819 19:24:01.160
flight_take_off,20210819 19:24:01.163,20210819 19:24:04.339
flight_cruising,20210819 19:24:04.343,20210819 19:24:19.265
unknown,20210819 19:24:19.268,20210819 19:24:23.873
flight_take_off,20210819 19:24:23.877,20210819 19:24:26.473
flight_cruising,20210819 19:24:26.476,20210819 19:24:45.732
unknown,20210819 19:24:45.737,20210819 19:24:54.918
flight_take_off,20210819 19:24:54.921,20210819 19:24:57.339
flight_cruising,20210819 19:24:57.343,20210819 19:25:05.723
unknown,20210819 19:25:05.728,20210819 19:25:08.641
flight_take_off,20210819 19:25:08.645,20210819 19:25:10.294
unknown,20210819 19:25:23.900,20210819 19:25:29.475
